Code,Source,Country,Unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Steel,Oil,MEX,ktoe,1280.4,1194.6,688.2,844.6,942.1,982.1,1140.3,1174.2,1173.8,1025.7,818.9,653.5,525.5,534.8,608.8,480,419.5,428.9,402.2,374.1,286.7,233.3,236.5,161.1,113.6,111.2,112.6
Steel,Other sources,MEX,ktoe,30,22.2,8.1,9.1,9.9,18,20.4,100.7,114.8,140.9,169,60.5,93.3,134.2,123.4,85.4,139,143.8,142.1,85.6,42.1,43.7,59.2,54.2,21.5,41.1,45.5
Steel,Coal,MEX,ktoe,"1,348.70","1,268.30","1,223.40","1,168.50","1,194.40","1,292.40","1,314.50","1,287.40","1,325.40","1,335.80","1,729.50","1,490.30","1,115.30","1,193.20","1,193.90","1,134.50","1,137.60","1,085.40","1,139.80",914.8,"1,500.50","1,474.90","1,536.60","1,555.50","1,640.80","1,400.50","1,517.10"
Transport equipment,Electricity,MEX,ktoe,69.7,57.1,75.2,78.1,78.4,65,84.6,93.8,101.7,111.5,113.4,127.7,127.5,138.6,141.1,149.4,156.1,161.4,168.5,159.3,170.5,181.8,182.8,188.1,203.7,220,229.8
Transport equipment,Gas,MEX,ktoe,41.7,41.8,35.1,39.7,36.5,31,59.2,71.3,75.4,89.3,48.2,47.5,44.5,38.5,36,44.9,55.2,50.6,52.8,54.5,49.7,85.2,98.1,113,134,136.3,145.8
Transport equipment,Oil,MEX,ktoe,6.1,9.9,7.5,7.4,7.4,4.4,5.7,6.3,6.9,7.4,7.4,1,0.4,8.3,8.4,8.9,12,13,14.3,10.5,16,17.4,18.7,19.6,21.9,23.7,23.8
Transport equipment,Other sources,MEX,ktoe,27.4,20.8,22.7,31.2,27.9,21.3,27.7,30.7,33.3,74.7,38.1,37.7,20.9,5.8,5.9,6.2,7.7,8.9,9,6.6,9.4,10.9,12.5,13.1,14.7,15.8,15.9
Other sub-sectors,Electricity,MEX,ktoe,"2,080.00","2,379.10","2,383.70","2,549.10","2,778.20","3,031.00","3,537.90","4,110.90","4,330.00","4,634.80","5,352.20","5,514.60","5,684.80","5,261.50","6,887.20","7,162.40","7,460.30","7,695.30","7,879.20","7,430.20","8,154.10","8,807.00","9,087.50","9,003.90","9,552.80","9,642.90","9,965.70"
Other sub-sectors,Gas,MEX,ktoe,"1,887.90","1,978.80","1,969.30","2,272.20","2,499.50","3,318.90","1,636.80","1,200.00","1,848.10","1,589.30","1,763.60","1,035.40","2,608.70","2,498.10","2,497.90","2,924.70","3,150.70","2,856.40","2,749.80","2,887.00","3,253.60","3,636.20","3,860.60","4,268.50","4,389.80","4,644.10","5,071.80"
Other sub-sectors,Oil,MEX,ktoe,1480.1,1150.5,"1,533.50",2134,2151.3,1883.6,1795.6,2020.9,1613.3,1621,1148.2,1646.8,1233.7,1590.1,1693.8,1460,1194,1149.3,1017.5,851.5,736.7,925.9,727.5,868.9,786.2,"1,135.90","1,468.80"
Other sub-sectors,Other sources,MEX,ktoe,320.2,328.7,356.2,469.6,465.5,483,449.9,388.5,371.2,719.8,946.4,867.3,947.2,890.5,867.6,877.6,881.2,945.5,904.8,864.4,856.2,728.6,827.4,880.6,827.9,879.9,975.7
Other sub-sectors,Coal,MEX,ktoe,0,0,0,0,0,0,0,0,0,0,0,0,"4,922.10",448,"1,508.60","1,706.90","2,507.90","1,928.60","2,623.60","1,201.50","2,150.00","3,840.40","1,954.50","2,249.00","1,696.10","1,867.00","1,360.10"
Other sub-sectors,Comb. Renewables,MEX,ktoe,1771.806633,2046.527184,1883.276013,2089.782176,1753.200538,2041.224805,1612.854689,1807.776825,1763.56645,1207.389894,71.53434615,92.14674706,41.36810936,81.23148957,93.10213065,49.8471387,112.9502247,180.8302286,97.44912598,105.5460019,156.5634855,44.56864438,208.4885835,110.7528424,146.2453427,112.6636096,136.8109298
Mining,Electricity,MEX,ktoe,410.5,358.9,366.4,385.5,400.7,451.9,479.6,450.8,485,469.5,491.5,468.8,463.3,409.5,448.8,453.6,469.4,485.4,492.7,459.2,628.7,627.4,737.7,866.9,820.4,910.3,970.5
Mining,Gas,MEX,ktoe,406.2,487.4,524.5,449.2,427.5,420.8,690.4,704.3,738.7,773.8,196.4,183.3,188.3,202.7,190.5,222.9,224.1,186,168.4,161.3,195.6,214.7,225,221.5,160.6,241.2,254.7
Mining,Oil,MEX,ktoe,294.6,259.1,222.1,231,240,239.4,277.7,261,280.8,248.9,284.8,208.2,191.5,169.3,185.5,187.5,169.5,192.2,321.4,201.4,325,330.7,343.6,157.5,162.7,181,183.2
Mining,Other sources,MEX,ktoe,14.5,18.9,26,27.4,25.3,50.5,53.8,50.5,54.4,107.6,67.2,64.1,62.5,55.2,60.5,61.2,70.4,85,88.1,81.8,150.1,149.9,146.2,222.6,193.1,167.6,177.6
